"subID","block","trial","image","imageIdx","cueIdx","cue_string","congruent","response","accuracy","RT","cueDuration","learningRound","trueCue","congCue","imgLockedRT"
67,1,40," S2-19.jpg",2,1," green","incongruent",2,1,2.0248,0.85,1,0.65,0.35,1.1748
67,1,41," S2-19.jpg",2,3," orange","neutral",2,1,1.3197,0.7667,1,0.5,0.5,0.553
67,1,42," S2-19.jpg",2,2," purple","congruent",1,0,0.9528,0.7833,1,0.65,0.65,0.1695
67,1,43," S2-19.jpg",2,2," purple","congruent",2,1,0.4621,0.9833,1,0.65,0.65,-0.5212
67,1,44," S2-19.jpg",2,2," purple","congruent",2,1,0.5872,1.15,1,0.65,0.65,-0.5628
67,1,45," S2-19.jpg",2,2," purple","congruent",2,1,0.6036,0.8167,1,0.65,0.65,-0.2131
67,1,46," S1-15.jpg",1,1," green","congruent",1,1,0.5864,0.7833,1,0.65,0.65,-0.1969
67,1,47," S1-15.jpg",1,2," purple","incongruent",2,0,0.6179,1.0667,1,0.65,0.35,-0.4488
67,1,48," S2-19.jpg",2,2," purple","congruent",1,0,0.637,0.8667,1,0.65,0.65,-0.2297
67,1,49," S1-15.jpg",1,3," orange","neutral",1,1,0.9274,0.85,1,0.5,0.5,0.0774
67,1,50," S1-15.jpg",1,1," green","congruent",1,1,0.4313,0.7667,1,0.65,0.65,-0.3354
67,1,51," S2-19.jpg",2,3," orange","neutral",1,0,0.6774,0.7833,1,0.5,0.5,-0.1059
67,1,52," S2-19.jpg",2,3," orange","neutral",2,1,0.7145,0.9,1,0.5,0.5,-0.1855
67,1,53," S2-19.jpg",2,2," purple","congruent",2,1,1.5067,0.75,1,0.65,0.65,0.7567
67,1,54," S1-15.jpg",1,2," purple","incongruent",2,0,0.5007,0.8,1,0.65,0.35,-0.2993
67,1,55," S1-15.jpg",1,3," orange","neutral",1,1,1.4119,0.8667,1,0.5,0.5,0.5452
67,1,56," S1-15.jpg",1,3," orange","neutral",1,1,0.53,1.0833,1,0.5,0.5,-0.5533
67,1,57," S2-19.jpg",2,3," orange","neutral",1,0,0.4041,1.1833,1,0.5,0.5,-0.7792
67,1,58," S2-19.jpg",2,1," green","incongruent",1,0,1.1079,0.8167,1,0.65,0.35,0.2912
67,1,59," S1-15.jpg",1,3," orange","neutral",2,0,0.718,1.2,1,0.5,0.5,-0.482
67,1,60," S1-15.jpg",1,1," green","congruent",2,0,1.3425,0.8,1,0.65,0.65,0.5425
